GO_name,GO_term,GO_definition
intraciliary anterograde transport,GO:0035720,"The directed movement of large protein complexes along microtubules from the cell body toward the tip of a cilium (also called flagellum), mediated by motor proteins."
regulation of protein processing,GO:0070613,"Any process that modulates the frequency, rate or extent of protein processing, any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein."
intracellular sequestering of iron ion,GO:0006880,The process of binding or confining iron ions in an intracellular area such that they are separated from other components of a biological system.
positive regulation of circadian rhythm,GO:0042753,"Any process that activates or increases the frequency, rate or extent of a circadian rhythm behavior."
regulation of DNA repair,GO:0006282,"Any process that modulates the frequency, rate or extent of DNA repair."
regulation of mitotic cytokinesis,GO:1902412,"Any process that modulates the frequency, rate or extent of mitotic cytokinesis."
meiotic chromosome condensation,GO:0010032,Compaction of chromatin structure prior to meiosis in eukaryotic cells.
meiotic spindle midzone assembly,GO:0051257,"The formation of the spindle midzone, the area in the center of the spindle where the spindle microtubules from opposite poles overlap, as a part of the process of meiosis."
establishment or maintenance of cell polarity regulating cell shape,GO:0071963,"Any cellular process that results in the specification, formation or maintenance of a polarized intracellular organization or cell growth patterns that regulate the shape of a cell."
iron import into the mitochondrion,GO:0048250,"The process in which iron is transported from the cytosol, into the mitochondrial matrix."
carnosine metabolic process,GO:0035498,The chemical reactions and pathways involving the dipeptide beta-alanyl-L-histidine (carnosine).
defense response to tumor cell,GO:0002357,Reactions triggered in response to the presence of a tumor cell that act to protect the cell or organism.
rRNA 3'-end processing,GO:0031125,Any process involved in forming the mature 3' end of an rRNA molecule.
smooth muscle cell proliferation,GO:0048659,"The multiplication or reproduction of smooth muscle cells, resulting in the expansion of a cell population."
peptidyl-serine octanoylation,GO:0018191,"The octanoylation of peptidyl-serine to form peptidyl-O3-octanoyl-L-serine, typical of the protein ghrelin."
mRNA pseudouridine synthesis,GO:1990481,The intramolecular conversion of uridine to pseudouridine in an mRNA molecule.
positive regulation of neurotrophin TRK receptor signaling pathway,GO:0051388,"Any process that activates or increases the frequency, rate or extent of the neurotrophin TRK receptor signaling pathway."
negative regulation of synaptic vesicle recycling,GO:1903422,"Any process that stops, prevents or reduces the frequency, rate or extent of synaptic vesicle recycling."
organelle fusion,GO:0048284,The creation of a single organelle from two or more organelles.
regulation of Toll signaling pathway,GO:0008592,"Any process that modulates the frequency, rate or extent of the Tl signaling pathway."
negative regulation of vascular associated smooth muscle contraction,GO:1904694,"Any process that stops, prevents or reduces the frequency, rate or extent of vascular smooth muscle contraction."
dopamine biosynthetic process,GO:0042416,"The chemical reactions and pathways resulting in the formation of dopamine, a catecholamine neurotransmitter and a metabolic precursor of noradrenaline and adrenaline."
vascular endothelial growth factor receptor-2 signaling pathway,GO:0036324,"Any series of molecular signals initiated by the binding of an extracellular ligand to a vascular endothelial growth factor receptor-2 (VEGFR-2) located on the surface of the receiving cell, and ending with regulation of a downstream cellular process, e.g. transcription."
vascular endothelial growth factor receptor-3 signaling pathway,GO:0036325,"Any series of molecular signals initiated by the binding of an extracellular ligand to a vascular endothelial growth factor receptor-3 (VEGFR-3) located on the surface of the receiving cell, and ending with regulation of a downstream cellular process, e.g. transcription."
toll-like receptor 2 signaling pathway,GO:0034134,Any series of molecular signals generated as a consequence of binding to toll-like receptor 2.
production of miRNAs involved in gene silencing by miRNA,GO:0035196,"Cleavage of stem-loop RNA precursors into microRNAs (miRNAs), a class of small RNAs that primarily silence genes by blocking the translation of mRNA transcripts into protein, or by increasing the degradation of non-protein-coding RNA transcripts."
regulation of reactive oxygen species metabolic process,GO:2000377,"Any process that modulates the frequency, rate or extent of reactive oxygen species metabolic process."
monocarboxylic acid metabolic process,GO:0032787,"The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."
benzoyl-CoA metabolic process,GO:1901787,The chemical reactions and pathways involving benzoyl-CoA.
actin polymerization-dependent cell motility,GO:0070358,A process involved in the controlled movement of a bacterial cell powered by the continuous polymerization of actin at one pole of the cell.
regulation of actin filament length,GO:0030832,Any process that controls the length of actin filaments in a cell.
blastocyst growth,GO:0001832,An increase in size of a blastocyst due to expansion of the blastocoelic cavity cell shape changes and cell proliferation.
