electron transport chain,GO:0022900
peptidyl-proline hydroxylation to 4-hydroxy-L-proline,GO:0018401
protein hydroxylation,GO:0018126
positive regulation of T-helper 2 cell differentiation,GO:0045630
post-translational protein acetylation,GO:0034421
negative regulation of ERAD pathway,GO:1904293
positive regulation of cardiac muscle myoblast proliferation,GO:0110024
negative regulation of transforming growth factor beta1 production,GO:0032911
animal organ formation,GO:0048645
cardiac vascular smooth muscle cell differentiation,GO:0060947
regulation of vesicle size,GO:0097494
mRNA modification,GO:0016556
mRNA localization resulting in posttranscriptional regulation of gene expression,GO:0010609
protein de-ADP-ribosylation,GO:0051725
response to osmotic stress,GO:0006970
cellular magnesium ion homeostasis,GO:0010961
regulation of developmental pigmentation,GO:0048070
negative regulation of GTP binding,GO:1904425
regulation of B cell differentiation,GO:0045577
positive regulation of B cell receptor signaling pathway,GO:0050861
positive regulation of killing of cells of other organism,GO:0051712
leukocyte activation involved in immune response,GO:0002366
positive regulation of growth rate,GO:0040010
response to light stimulus,GO:0009416
response to gravity,GO:0009629
amine metabolic process,GO:0009308
positive regulation of ATP-dependent microtubule motor activity_ plus-end-directed,GO:2000582
neuroinflammatory response,GO:0150076
response to lithium ion,GO:0010226
pseudouridine synthesis,GO:0001522
tRNA pseudouridine synthesis,GO:0031119
dicarboxylic acid metabolic process,GO:0043648
glyoxylate metabolic process,GO:0046487
regulation of non-canonical Wnt signaling pathway,GO:2000050
protein targeting to vacuole,GO:0006623
protein import into mitochondrial intermembrane space,GO:0045041
'de novo' posttranslational protein folding,GO:0051084
protein maturation by protein folding,GO:0022417
negative regulation of NLRP3 inflammasome complex assembly,GO:1900226
ceramide 1-phosphate transport,GO:1902389
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway,GO:0007196
negative regulation of Schwann cell proliferation,GO:0010626
negative regulation of histone deacetylation,GO:0031064
histone H4-K16 acetylation,GO:0043984
negative regulation of viral process,GO:0048525
C-terminal protein deglutamylation,GO:0035609
exit from mitosis,GO:0010458
nuclear envelope reassembly,GO:0031468
atrioventricular valve development,GO:0003171
mesenchymal cell development,GO:0014031
embryonic heart tube morphogenesis,GO:0003143
visceral motor neuron differentiation,GO:0021524
positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,GO:2001269
aorta development,GO:0035904
MyD88-dependent toll-like receptor signaling pathway,GO:0002755
cytoplasmic pattern recognition receptor signaling pathway,GO:0002753
regulation of anion transport,GO:0044070
chondrocyte proliferation,GO:0035988
regulation of cardiac muscle cell contraction,GO:0086004
retinoic acid catabolic process,GO:0034653
cytoplasmic translational termination,GO:0002184
sensory perception of sweet taste,GO:0050916
sensory perception of umami taste,GO:0050917
positive regulation of epidermal cell differentiation,GO:0045606
negative regulation of collagen biosynthetic process,GO:0032966
regulation of type B pancreatic cell proliferation,GO:0061469
positive regulation of protein localization to early endosome,GO:1902966
negative regulation of lysosomal protein catabolic process,GO:1905166
cGMP biosynthetic process,GO:0006182
receptor guanylyl cyclase signaling pathway,GO:0007168
regulation of mitochondrial mRNA stability,GO:0044528
bicarbonate transport,GO:0015701
auditory receptor cell development,GO:0060117
TRAIL-activated apoptotic signaling pathway,GO:0036462
negative regulation of response to oxidative stress,GO:1902883
maturation of 5.8S rRNA,GO:0000460
aspartate transmembrane transport,GO:0015810
malate-aspartate shuttle,GO:0043490
heparan sulfate proteoglycan metabolic process,GO:0030201
chylomicron remodeling,GO:0034371
very-low-density lipoprotein particle remodeling,GO:0034372
positive regulation of cholesterol storage,GO:0010886
regulation of lipoprotein lipase activity,GO:0051004
low-density lipoprotein particle mediated signaling,GO:0055096
cellular homeostasis,GO:0019725
mitochondrion transport along microtubule,GO:0047497
protein maturation by iron-sulfur cluster transfer,GO:0097428
protein maturation by [4Fe-4S] cluster transfer,GO:0106035
positive regulation of histone deacetylation,GO:0031065
regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043281
detection of mechanical stimulus involved in sensory perception,GO:0050974
lateral ventricle development,GO:0021670
negative regulation of histone H3-K9 methylation,GO:0051573
oxidative single-stranded RNA demethylation,GO:0035553
positive regulation of protein lipidation,GO:1903061
protein localization to photoreceptor outer segment,GO:1903546
photoreceptor cell maintenance,GO:0045494
positive regulation of exosomal secretion,GO:1903543
positive regulation of extracellular exosome assembly,GO:1903553
regulation of fibroblast migration,GO:0010762
vesicle docking,GO:0048278
regulation of dephosphorylation,GO:0035303
serotonin uptake,GO:0051610
aminergic neurotransmitter loading into synaptic vesicle,GO:0015842
valine biosynthetic process,GO:0009099
DNA catabolic process,GO:0006308
response to fructose,GO:0009750
mitochondrion distribution,GO:0048311
polyphosphate catabolic process,GO:0006798
intestinal stem cell homeostasis,GO:0036335
epithelial cell proliferation,GO:0050673
metanephric nephron tubule morphogenesis,GO:0072282
epithelial cell proliferation involved in renal tubule morphogenesis,GO:2001013
negative regulation of T cell activation,GO:0050868
cardiac ventricle development,GO:0003231
peptidyl-lysine modification to peptidyl-hypusine,GO:0008612
planar cell polarity pathway involved in neural tube closure,GO:0090179
positive regulation of neuron projection arborization,GO:0150012
convergent extension involved in organogenesis,GO:0060029
glycogen biosynthetic process,GO:0005978
mitochondrial fragmentation involved in apoptotic process,GO:0043653
regulation of protein deacetylation,GO:0090311
protein metabolic process,GO:0019538
medium-chain fatty acid biosynthetic process,GO:0051792
medium-chain fatty acid catabolic process,GO:0051793
heterochromatin maintenance,GO:0070829
regulation of cellular component organization,GO:0051128
protein farnesylation,GO:0018343
positive regulation of production of miRNAs involved in gene silencing by miRNA,GO:1903800
lymphoid progenitor cell differentiation,GO:0002320
renal system process,GO:0003014
secondary heart field specification,GO:0003139
membranous septum morphogenesis,GO:0003149
mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0003337
specification of animal organ position,GO:0010159
negative regulation of T cell differentiation in thymus,GO:0033085
negative regulation of immature T cell proliferation in thymus,GO:0033088
tendon cell differentiation,GO:0035990
deltoid tuberosity development,GO:0035993
regulation of smooth muscle cell proliferation,GO:0048660
regulation of smooth muscle cell differentiation,GO:0051150
cloacal septation,GO:0060197
lens induction in camera-type eye,GO:0060235
trachea development,GO:0060438
branching involved in prostate gland morphogenesis,GO:0060442
prostate gland morphogenesis,GO:0060512
epithelial-mesenchymal cell signaling,GO:0060684
regulation of morphogenesis of a branching structure,GO:0060688
regulation of cartilage development,GO:0061035
pharyngeal arch artery morphogenesis,GO:0061626
mesenchymal cell differentiation involved in kidney development,GO:0072161
positive regulation of viral process,GO:0048524
late endosomal microautophagy,GO:0061738
regulation of viral process,GO:0050792
positive regulation of viral release from host cell,GO:1902188
viral release from host cell,GO:0019076
endosome to lysosome transport via multivesicular body sorting pathway,GO:0032510
ubiquitin-independent protein catabolic process via the multivesicular body sorting pathway,GO:0090611
positive regulation of viral life cycle,GO:1903902
negative regulation of cell division,GO:0051782
negative regulation of cell cycle G1/S phase transition,GO:1902807
polarized epithelial cell differentiation,GO:0030859
embryonic epithelial tube formation,GO:0001838
striatal medium spiny neuron differentiation,GO:0021773
exploration behavior,GO:0035640
locomotory exploration behavior,GO:0035641
locomotion,GO:0040011
negative regulation of cell volume,GO:0045794
positive regulation of long-term neuronal synaptic plasticity,GO:0048170
positive regulation of synapse structural plasticity,GO:0051835
postsynaptic density assembly,GO:0097107
AMPA glutamate receptor clustering,GO:0097113
NMDA glutamate receptor clustering,GO:0097114
regulation of AMPA glutamate receptor clustering,GO:1904717
regulation of behavioral fear response,GO:2000822
positive regulation of AMPA receptor activity,GO:2000969
L-fucose catabolic process,GO:0042355
penetration of zona pellucida,GO:0007341
regulation of actin filament organization,GO:0110053
histone monoubiquitination,GO:0010390
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity,GO:2000373
B cell lineage commitment,GO:0002326
T cell lineage commitment,GO:0002360
negative regulation of calcium ion transport into cytosol,GO:0010523
positive regulation of neuron maturation,GO:0014042
cochlear nucleus development,GO:0021747
gland morphogenesis,GO:0022612
negative regulation of myeloid cell apoptotic process,GO:0033033
regulation of programmed cell death,GO:0043067
regulation of viral genome replication,GO:0045069
positive regulation of melanocyte differentiation,GO:0045636
oocyte development,GO:0048599
positive regulation of skeletal muscle fiber development,GO:0048743
negative regulation of mitochondrial depolarization,GO:0051902
regulation of transmembrane transporter activity,GO:0022898
negative regulation of anoikis,GO:2000811
resolution of meiotic recombination intermediates,GO:0000712
double-strand break repair via synthesis-dependent strand annealing,GO:0045003
positive regulation of protein monoubiquitination,GO:1902527
replication fork reversal,GO:0071932
heart formation,GO:0060914
tRNA wobble position uridine thiolation,GO:0002143
response to stilbenoid,GO:0035634
regulation of apoptotic DNA fragmentation,GO:1902510
cellular aldehyde metabolic process,GO:0006081
fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate,GO:0061624
regulation of ubiquitin-protein transferase activity,GO:0051438
regulation of cytokine production involved in immune response,GO:0002718
cellular response to cGMP,GO:0071321
positive regulation of core promoter binding,GO:1904798
lacrimal gland development,GO:0032808
paraxial mesoderm formation,GO:0048341
ventricular cardiac muscle tissue morphogenesis,GO:0055010
cardiac muscle cell proliferation,GO:0060038
negative regulation of lymphangiogenesis,GO:1901491
positive regulation of hematopoietic progenitor cell differentiation,GO:1901534
